1,The Career Book,Ewen Reynolds,Hachette Liver,1234567890,tiffanyelliott@outlook.com,10,./BOOKS/bookimgs/b1.jpg,Book,2019/03/08,,2
2,McConnel Economics ,McDonnel Brue Flynn,Pan,1222333445,ning@email.com,14,./BOOKS/bookimgs/b2.jpeg,Book,2019/03/09,,1
3,The pout pout fish,Deborah Diesen,Pearson,6664448878,sarah@gmail.ca,28,./BOOKS/bookimgs/b3.jpg,Book,2019/03/10,,3
4,Sweet Corn Farming,Lucky James,Bloomsbury,,boby123@hotmail.ca,66,./BOOKS/bookimgs/b4.jpg,Book,2019/03/11,,4
5,Twilight,Stephanie Meyer,Harper Collins,9898989078,fredfredfred@gmail.com,33,./BOOKS/bookimgs/b5.jpg,Book,2019/03/12,,1
6,Survival Medicine,Steve Mcallister,Penguin Random House,2223331122,J9080@outlook.com,25,./BOOKS/bookimgs/b6.jpg,Book,2019/03/13,,2
7,Spring Gardening,Silas Norton,Hachette Liver,2332234567,alice_h@live.ca,17,./BOOKS/bookimgs/b7.jpg,Book,2019/03/14,,1
8,Python Web Programming,Steve Holden,Pan,7776754643,anna88@hotmail.ca,100,./BOOKS/bookimgs/b8.jpg,Text,2019/03/15,,3
9,Fire safety,Aurora Shannon,Pearson,2344569875,barbara@email.com,80,./BOOKS/bookimgs/b9.jpg,Text,2019/03/16,,4
10,Essentials of Physical Anthropology,Robert Jurmain,Pearson,9990006648,terrence10@hotmail.com,95,./BOOKS/bookimgs/b10.jpeg,Text,2019/03/17,,3
11,CPA Study Guide,Farhan Steadman,Oxford,8886668578,olgad@gmail.com,115,./BOOKS/bookimgs/b11.jpg,Text,2019/03/18,,4
12,Intro to Sociology,Layton Howells,Bloomsbury,,HR990@hotmail.com,95,./BOOKS/bookimgs/b12.jpg,Text,2019/03/19,,3
13,Tourism book,Charles Goeldner,Harper Collins,3334445672,peteypete@live.com,80,./BOOKS/bookimgs/b13.jpg,Text,2019/03/20,,2
14,Abstract Art,Debora Stewart,Penguin Random House,1118883401,rohndas@gmail.com,45,./BOOKS/bookimgs/b14.jpg,Text,2019/03/21,,1
15,Media Studies 101,Dylon Hodge,Pearson,3330005467,wandar@live.ca,39,./BOOKS/bookimgs/b15.jpg,Text,2019/03/22,,1
16,Harry Potter,JK Rowling,Bloombury Publishing,9874848456,rorysmith@live.com,10,./BOOKS/bookimgs/b16.jpg,Book,2019/03/23,,1
17,THE BEAUTIFUL POETRY OF DONALD TRUMP,ROB SEARS,I’m really rich,,I’m really rich@rich.com,6.02,./BOOKS/bookimgs/b17.jpg,Book,2019/03/30,,2
